196307,0.85,0.15,0.67,0.11,-1.33,-1.87,0.29,-0.85,-1.9,-1.19,-1.84,-1.83,-0.85,-2.15,-1.8,-0.81,-1.58,-2.17,-1.83,-1.86,0.15,0.48,1.17,-0.45,-1.11
196308,3.8,2.12,0.99,2.39,4.63,5.4,4.65,4.5,4.33,8.23,5.36,4.62,5.52,4.69,5.15,5.58,4.83,6.15,7.02,5.34,5.77,4.27,4.65,8.16,6.25
196309,-2.7,0.3,-1.22,-1.59,-0.37,-3.92,-1.57,-0.55,-1.12,-2.91,-4.64,-1.6,-0.62,-0.05,-1.82,-2.58,-1.92,-1.99,-3.37,-1.99,-1.38,-0.74,-0.98,-0.12,-3.81
196310,1.36,-0.54,1.24,0.09,2.36,1.2,4.3,2.31,2.17,3.94,2.26,0.51,2.69,1.72,1.07,-0.26,0.78,2.41,4.65,0.63,5.35,1.71,-0.23,2.36,0.48
196311,-3.1,-4.15,-1.53,-1.02,-1.07,-4.17,-1.76,-0.76,-0.08,-0.1,-2.92,-1.53,-0.86,-1.19,-1.21,-0.99,-0.91,-0.41,0.81,3.51,-1.29,1.01,-1.57,-2.05,1.34
196312,-2.94,-0.36,-0.76,-1.66,-1.04,-0.68,-0.91,1.08,0.98,0.13,0.61,1.14,1.56,1.36,0.47,-0.16,1.5,1.39,2.56,6.14,2.57,2.3,2.26,2.39,2.37
196401,3.94,2.96,4.27,4.13,4.87,-1.78,-0.61,3.6,1.52,4.21,0.51,0.61,2.46,3.86,3.21,-0.34,1.74,1.37,3.35,3.32,3.1,3.19,1.85,2.11,1.41
196402,3.13,2.51,2.17,0.31,4.53,1.62,1.74,2.52,2.02,6.09,0.31,2.8,1.85,3.48,4.01,2.69,1.18,3.32,7.58,4.6,1.83,0.52,1.02,3.86,3.96
196403,0.63,1.28,2.11,3.55,2.77,2.31,3.25,3.61,5.71,6.13,-0.64,2.62,4.6,5.03,6.72,1.87,2.64,5.68,6.37,0.75,1.19,0.7,3.93,4.01,-0.38
196404,-1.7,2.42,-0.21,-0.87,-1,-0.75,-4.04,0.5,-1.48,-0.61,-2.01,-1.13,0.26,-0.76,-1.02,-2.67,0.76,1.47,-1.33,-2.26,0.27,1.53,0.65,-1,2.83
196405,-1.4,-0.93,0.38,0.34,1.54,3.11,0.35,2.86,1.83,3.77,-0.47,1.5,-0.37,1.37,2.49,1.18,2.32,1.31,1.92,4.1,2.05,0.34,1.24,4.23,3.48
196406,1.91,0.25,1.65,0.81,1.11,0.9,1.69,1.5,1.16,2.18,0.88,2.22,2.41,2.31,1.24,1.16,1.21,1.41,2.28,3.09,0.93,2.87,0.41,1.37,2.45
196407,0.84,3.85,3.24,2.64,4.74,1.06,1.6,4.17,3.14,2.45,2.42,2.58,3.12,3.19,1.24,1.58,3.63,1.74,1.6,3.04,2.56,0.64,3.95,1.79,0.81
196408,1.21,-1.9,-1.75,-0.92,-0.49,-1.79,-2.56,-1.09,0.08,-1.66,-2.83,-0.76,0.5,-0.15,-2.02,-1.09,0.35,1.28,-0.02,-0.66,-1.25,-1.61,-0.11,-0.86,-2.97
196409,4.6,4.05,5.87,2.74,3.99,3.54,2.28,2.54,2.09,4.54,1.39,1.94,3.19,3.26,3.71,3.15,3.05,4.26,4.66,4.27,3.09,1.25,4.58,4.59,7.12
196410,1.88,0.35,2.55,2.19,3.38,-1.48,1.85,2.11,1.23,1.48,3.45,3.47,1.79,1.32,2.72,1.03,1.08,1.2,2.99,3.76,0.34,1.13,0.32,0.38,4.12
196411,-0.15,-0.4,0.68,0.74,0.58,-0.69,-0.22,0.05,-0.58,-1.82,1.5,0.46,-0.07,0.48,0.17,0.71,1.42,-0.98,-0.6,-4.73,1.06,-0.34,1.48,-1.35,-4.47
196412,-1.53,-1.37,-2.33,-2.61,-1.93,1.43,0.07,0.74,-1.59,-1.54,0.01,0.91,-0.44,-1.8,-0.89,1.07,0.14,-1.53,-1.21,-1.33,0.83,1.4,-1.12,-1.18,-1.3
196501,8.79,5.83,5.92,7.21,8.91,7.66,6.05,5.38,5.71,6.47,5.25,6.23,5.3,5.88,6.97,6.58,3.98,5.39,4.94,6.81,4.7,1.16,3.04,3.61,3.69
196502,1.77,1.05,2.59,3.07,3.45,3.41,4.06,3.68,3.35,3.79,3.8,4.91,4.74,2.9,3.36,1.41,3.36,3.73,2.9,1.66,0.13,-0.08,0.14,-0.4,-1.24
196503,1.79,2.72,1.27,2.31,3.25,2.02,-1.31,0.77,1.4,0.57,-0.11,-0.36,-0.36,1.56,0.64,-0.71,-0.32,-0.25,0.45,1.83,-1.3,-1.66,-1.7,-0.6,0.33
196504,4.6,4.88,5.21,4.06,4.44,0,4.67,4.46,4.67,5.01,2.75,2.99,4.29,3.41,6.82,2.89,3.1,4.69,4.41,2.13,4.59,1.89,2.16,2.15,4.61
196505,-0.4,-2.33,-1.53,-0.42,-1.15,1.24,-1.31,-0.85,-0.35,-2.17,-0.43,0.35,-1.48,-0.8,-0.62,-0.97,-0.09,-1.39,-0.39,-3.39,-0.74,0.89,-0.2,-0.59,-3.37
196506,-12.23,-10.7,-9.46,-7.97,-9.52,-10.34,-8.34,-9.01,-8.43,-8.13,-6.74,-9.26,-8.44,-8.49,-8.36,-6.54,-6.61,-7.76,-8.58,-8.42,-4.43,-3.65,-4.98,-3.64,-5.6
196507,2.37,3.83,3.22,2.37,4.24,3.83,1.28,2.78,3.69,4.35,1.1,4.51,2.49,4.39,4.73,2.71,3.09,4.05,2.93,6.42,1.52,0,1.84,3.74,4.82
196508,2.6,5.39,5.46,3.87,3.91,7.58,3.9,4.75,4.53,4.06,7.73,5.17,7.54,3.54,6.24,4.13,3.54,5.44,3.06,4.88,3.27,1.3,3.58,1.13,2.16
196509,3.01,7.11,0.85,4,3.08,5.51,3.49,3.07,4.74,2.78,2.44,4.55,2.47,5.15,4.6,3.73,3.5,1.75,2.7,4.05,3.93,2.3,2.59,3.51,3.21
196510,5.82,8.96,6.41,5.63,8.99,4.84,5.84,3.93,5.53,5.36,4.69,4.96,5.78,5.36,5.34,4.22,2.51,3.3,4.17,8.65,3.13,0.21,3.12,4.42,5.22
196511,3.68,6.32,3.04,7.91,6.52,1.4,5.36,4.27,5.39,4.16,3.92,3.51,5.33,2.84,2.75,3.39,2.21,3.82,1.4,5.64,-0.29,-1.82,1.27,-1.28,-2.31
196512,6.55,6.87,2.91,4.02,4.84,3.69,4.98,4.25,2.52,6.87,2.52,1.44,3.65,1.99,5.5,1.19,1.34,1.26,4.47,5.52,1,-0.22,1.33,2.8,2.71
