Date,Open,High,Low,Close,Adj Close,Volume,logClose,rtnClose,vol,vol_1,vol_ma_5,vol_ma_21
9/30/13,1687.2600100000002,1687.2600100000002,1674.98999,1681.550049,1681.550049,3308630000,7.427471295233357,,1.921360825209717e-05,,,
10/01/13,1682.410034,1696.550049,1682.069946,1695,1695,3238690000,7.43543802,0.007966725,2.6499913934492378e-05,1.921360825209717e-05,,
10/02/13,1691.9000239999998,1693.869995,1680.339966,1693.869995,1693.869995,3148600000,7.434771127875027,-0.000666892,2.3197033135236818e-05,2.6499913934492378e-05,,
10/03/13,1692.3499760000002,1692.3499760000002,1670.359985,1678.660034,1678.660034,3279650000,7.425751155336615,-0.009019973,6.169616977215446e-05,2.3197033135236818e-05,,
10/04/13,1678.790039,1691.939941,1677.329956,1690.5,1690.5,2880270000,7.432779622,0.007028467,2.7127384285924296e-05,6.169616977215446e-05,,
10/07/13,1687.1500239999998,1687.1500239999998,1674.699951,1676.119995,1676.119995,2678490000,7.424236874541205,-0.008542748,1.9786348218274595e-05,2.7127384285924296e-05,3.154682187598102e-05,
10/08/13,1676.219971,1676.790039,1655.030029,1655.449951,1655.449951,3569230000,7.411828124576214,-0.01240875,6.153780347406888e-05,1.9786348218274595e-05,3.1661369869216506e-05,
10/09/13,1656.98999,1662.469971,1646.469971,1656.400024,1656.400024,3577840000,7.412401866160666,0.000573742,3.3732109731965906e-05,6.153780347406888e-05,3.8668947777131804e-05,
10/10/13,1660.880005,1692.560059,1660.880005,1692.560059,1692.560059,3362300000,7.433997489533501,0.021595623372834716,0.000128763,3.3732109731965906e-05,4.0775963096477625e-05,
10/11/13,1691.089966,1703.439941,1688.52002,1703.199951,1703.199951,2944670000,7.440264084809894,0.006266595,2.791333666040322e-05,0.000128763,5.418933044746266e-05,
10/14/13,1699.859985,1711.030029,1692.130005,1710.140015,1710.140015,2580580000,7.444330526261671,0.004066441,4.449830165304334e-05,2.791333666040322e-05,5.434652092235844e-05,
10/15/13,1709.1700440000002,1711.569946,1695.930054,1698.060059,1698.060059,3327740000,7.437241737,-0.00708879,3.0393198669988584e-05,4.449830165304334e-05,5.92889116093122e-05,
10/16/13,1700.4899899999998,1721.7600100000002,1700.4899899999998,1721.540039,1721.540039,3486180000,7.4509745407131645,0.013732804,5.5731156523756574e-05,3.0393198669988584e-05,5.305999064849614e-05,
10/17/13,1720.1700440000002,1733.449951,1714.119995,1733.1500239999998,1733.1500239999998,3453590000,7.457695854924299,0.006721314,4.535437635899764e-05,5.5731156523756574e-05,5.745980000685428e-05,
10/18/13,1736.719971,1745.310059,1735.7399899999998,1744.5,1744.5,3664890000,7.464223260626829,0.006527406,1.090401224368224e-05,4.535437635899764e-05,4.077807397323787e-05,
10/21/13,1745.199951,1747.790039,1740.6700440000002,1744.660034,1744.660034,3052710000,7.464314993,9.173210661117537e-05,6.00990499343782e-06,1.090401224368224e-05,3.7376209089893676e-05,
10/22/13,1746.47998,1759.3299559999998,1746.47998,1754.6700440000002,1754.6700440000002,3850840000,7.470036109107228,0.005721116,1.9382345315330196e-05,6.00990499343782e-06,2.9678529757972576e-05,
10/23/13,1752.27002,1752.27002,1740.5,1746.380005,1746.380005,3713380000,7.4653003559031275,-0.004735753,1.6382955331124247e-05,1.9382345315330196e-05,2.74763590870409e-05,
10/24/13,1747.47998,1753.939941,1745.5,1752.069946,1752.069946,3671700000,7.468553194215396,0.003252838,8.391854700480038e-06,1.6382955331124247e-05,1.9606718848514434e-05,
10/25/13,1756.0100100000002,1759.819946,1752.449951,1759.77002,1759.77002,3175720000,7.472938409039524,0.004385215,6.35235027206445e-06,8.391854700480038e-06,1.2214214516810914e-05,
10/28/13,1759.4200440000002,1764.9899899999998,1757.6700440000002,1762.109985,1762.109985,3282300000,7.474267225092879,0.001328816,6.2294553772715076e-06,6.35235027206445e-06,1.1303882122487357e-05,
10/29/13,1762.930054,1772.089966,1762.930054,1771.949951,1771.949951,3358460000,7.479835886409488,0.005568661,9.68668841528822e-06,6.2294553772715076e-06,1.1347792199254094e-05,3.233793454432733e-05
10/30/13,1772.27002,1775.219971,1757.2399899999998,1763.310059,1763.310059,3523040000,7.4749480370423065,-0.004887849,3.737713429314951e-05,9.68668841528822e-06,9.4086608192457e-06,3.1884271694955476e-05
10/31/13,1763.2399899999998,1768.530029,1755.719971,1756.540039,1756.540039,3826530000,7.471101266208397,-0.003846771,1.906106400263574e-05,3.737713429314951e-05,1.3607496611650752e-05,3.2402234569177246e-05
11/01/13,1758.699951,1765.6700440000002,1752.699951,1761.640015,1761.640015,3686290000,7.474000480855753,0.002899215,1.9605667687616496e-05,1.906106400263574e-05,1.5741338472081892e-05,3.2205283658101e-05
11/04/13,1763.4000239999998,1768.780029,1761.560059,1767.930054,1767.930054,3194870000,7.477564680197789,0.003564199,6.034113118701965e-06,1.9605667687616496e-05,1.83920019551923e-05,3.020097403502777e-05
11/05/13,1765.6700440000002,1767.030029,1755.7600100000002,1762.969971,1762.969971,3516680000,7.4747551493543405,-0.002809531,1.4765674122009501e-05,6.034113118701965e-06,1.835293350347839e-05,2.9196532550874323e-05
11/06/13,1765,1773.7399899999998,1764.4000239999998,1770.4899899999998,1770.4899899999998,3322100000,7.479011617765854,0.004256468,1.0053496170280172e-05,1.4765674122009501e-05,1.9368730644822647e-05,2.895745283200456e-05
11/07/13,1770.7399899999998,1774.540039,1746.199951,1747.1500239999998,1747.1500239999998,4143200000,7.465741181661645,-0.013270436,9.348195403440093e-05,1.0053496170280172e-05,1.3904003020248781e-05,2.6505819150871765e-05
11/08/13,1748.369995,1770.780029,1747.630005,1770.609985,1770.609985,3837170000,7.479079390492348,0.013338208830703024,6.245929295037235e-05,9.348195403440093e-05,2.8788181026601816e-05,2.93510498319401e-05
11/11/13,1769.959961,1773.439941,1767.8499760000002,1771.890015,1771.890015,2534060000,7.479802060954286,0.00072267,3.59476473026501e-06,6.245929295037235e-05,3.735890607915299e-05,2.6193730137811178e-05
11/12/13,1769.5100100000002,1771.780029,1762.290039,1767.689941,1767.689941,3221030000,7.4774288550804355,-0.002373206,1.0402981465947029e-05,3.59476473026501e-06,3.6871036401465595e-05,2.5035702903042693e-05
11/13/13,1764.369995,1782,1760.640015,1782,1782,3327480000,7.485491608030754,0.008062753,5.2448479667998446e-05,1.0402981465947029e-05,3.59984978702531e-05,2.3412116227466676e-05
11/14/13,1782.75,1791.530029,1780.219971,1790.619995,1790.619995,3139060000,7.490317205,0.004825597,1.4465884705150688e-05,5.2448479667998446e-05,4.4477494569796745e-05,2.4462367703562382e-05
11/15/13,1790.660034,1798.219971,1790.660034,1798.180054,1798.180054,3254820000,7.494530351285839,0.004213147,6.401685002969715e-06,1.4465884705150688e-05,2.8674280703946697e-05,2.2497354759819247e-05
11/18/13,1798.819946,1802.3299559999998,1788,1791.530029,1791.530029,3168520000,7.490825298535872,-0.003705053,2.2982651930509832e-05,6.401685002969715e-06,1.7462759114466172e-05,2.064246469524649e-05
11/19/13,1790.790039,1795.5100100000002,1784.719971,1787.869995,1787.869995,3224450000,7.488780243358435,-0.002045055,1.3103923453144044e-05,2.2982651930509832e-05,2.1340336554515135e-05,2.1217638013666852e-05
11/20/13,1789.589966,1795.72998,1777.22998,1781.369995,1781.369995,3109140000,7.485138007362035,-0.003642236,3.867848539396655e-05,1.3103923453144044e-05,2.1880524951954536e-05,2.1555448416510005e-05
11/21/13,1783.52002,1797.160034,1783.52002,1795.8499760000002,1795.8499760000002,3256630000,7.493233713079142,0.008095706,2.0935210808841675e-05,3.867848539396655e-05,1.912652609714816e-05,2.24743122297784e-05
11/22/13,1797.209961,1804.839966,1794.699951,1804.7600100000002,1804.7600100000002,3055140000,7.498182903,0.00494919,1.1448801969285438e-05,2.0935210808841675e-05,2.0420391317886356e-05,2.26910863001459e-05
11/25/13,1806.3299559999998,1808.0999760000002,1800.5799559999998,1802.47998,1802.47998,2998540000,7.4969187623013065,-0.001264141,6.264942055182242e-06,1.1448801969285438e-05,2.14298147111495e-05,2.2836655217708062e-05
11/26/13,1802.869995,1808.4200440000002,1800.77002,1802.75,1802.75,3427120000,7.497068555796869,0.000149793,6.481595567120955e-06,6.264942055182242e-06,1.808627273608398e-05,2.283249292166605e-05
11/27/13,1803.47998,1808.27002,1802.77002,1807.22998,1807.22998,2613590000,7.499550554214955,0.002481998,3.3468479433887354e-06,6.481595567120955e-06,1.676180715887936e-05,2.284449959737317e-05
11/29/13,1808.689941,1813.550049,1803.97998,1805.810059,1805.810059,1598300000,7.498764556242182,-0.000785998,1.0096768843327578e-05,3.3468479433887354e-06,9.6954796687638e-06,2.2542602432044624e-05
12/02/13,1806.550049,1810.02002,1798.5999760000002,1800.9000239999998,1800.9000239999998,3095430000,7.496041832252577,-0.002722724,1.4448763763004353e-05,1.0096768843327578e-05,7.5277912756609804e-06,2.124353741062453e-05
12/03/13,1800.0999760000002,1800.0999760000002,1787.8499760000002,1795.1500239999998,1795.1500239999998,3475680000,7.492843876259947,-0.003197956,1.6817341312898532e-05,1.4448763763004353e-05,8.127783634404764e-06,2.1023904065880178e-05
12/04/13,1793.1500239999998,1799.800049,1779.089966,1792.810059,1792.810059,3610540000,7.4915395332474155,-0.001304343,4.831157645148274e-05,1.6817341312898532e-05,1.0238263485948022e-05,2.089112661946504e-05
12/05/13,1792.819946,1792.819946,1783.380005,1785.030029,1785.030029,3336880000,7.487190517041422,-0.004349016,1.0052440945355483e-05,4.831157645148274e-05,1.860425966282038e-05,2.2904339159121265e-05
12/06/13,1788.359985,1806.040039,1788.359985,1805.089966,1805.089966,3150030000,7.498365712184157,0.011175195142734573,3.490566379522788e-05,1.0052440945355483e-05,1.9945378263213727e-05,2.2679899484042504e-05
12/09/13,1806.209961,1811.52002,1806.209961,1808.369995,1808.369995,3129500000,7.500181163,0.001815451,3.1081470516904924e-06,3.490566379522788e-05,2.4907157253593794e-05,2.3863336037611445e-05
12/10/13,1807.5999760000002,1808.52002,1801.75,1802.619995,1802.619995,3117150000,7.496996438371896,-0.003184725,5.073131158407639e-06,3.1081470516904924e-06,2.2639033911331023e-05,1.955982141938714e-05
12/11/13,1802.7600100000002,1802.969971,1780.089966,1782.219971,1782.219971,3472240000,7.485615040928875,-0.011381397,5.8828859506249756e-05,5.073131158407639e-06,2.0290191880432845e-05,1.68271470483412e-05
12/12/13,1781.709961,1782.9899899999998,1772.280029,1775.5,1775.5,3306640000,7.481837352383143,-0.003777689,1.3092053278930536e-05,5.8828859506249756e-05,2.2393648491386252e-05,1.945734203767381e-05
12/13/13,1777.97998,1780.9200440000002,1772.449951,1775.319946,1775.319946,3061070000,7.481735936933814,-0.000101415,8.197316056336033e-06,1.3092053278930536e-05,2.3001570958101262e-05,1.958539307638731e-05
12/16/13,1777.47998,1792.219971,1777.47998,1786.540039,1786.540039,3209890000,7.488036089191049,0.006300152,2.459860539374047e-05,8.197316056336033e-06,1.7659901410322895e-05,1.747819480916529e-05
12/17/13,1786.469971,1786.77002,1777.050049,1781,1781,3270030000,7.484930283289661,-0.003105806,1.0731862328135018e-05,2.459860539374047e-05,2.1957993078732888e-05,1.7960705318145757e-05
12/18/13,1781.459961,1811.0799559999998,1767.9899899999998,1810.6500239999998,1810.6500239999998,4327770000,7.501441189070154,0.016510905780492635,0.000209136,1.0731862328135018e-05,2.3089739312678364e-05,1.8166904238391722e-05
12/19/13,1809,1810.880005,1801.3499760000002,1809.5999760000002,1809.5999760000002,3497210000,7.500861092099257,-0.000580097,1.0041861168822021e-05,0.000209136,5.3151132930083804e-05,2.7031341174713964e-05
12/20/13,1810.390015,1823.75,1810.25,1818.319946,1818.319946,5097700000,7.505668247,0.004807155,1.9910227650165507e-05,1.0041861168822021e-05,5.25410945080621e-05,2.6885528684984345e-05
12/23/13,1822.9200440000002,1829.75,1822.9200440000002,1827.9899899999998,1827.9899899999998,2851540000,7.510972276069124,0.005304029,5.0441788534979725e-06,1.9910227650165507e-05,5.4883676826828e-05,2.5991802125755722e-05
12/24/13,1828.02002,1833.319946,1828.02002,1833.319946,1833.319946,1307630000,7.513883780343973,0.002911504,3.0229756208369556e-06,5.0441788534979725e-06,5.09727915187795e-05,2.5235086318358404e-05
12/26/13,1834.959961,1842.839966,1834.959961,1842.02002,1842.02002,1982270000,7.518618085377253,0.004734305,6.6229679670085545e-06,3.0229756208369556e-06,4.9431014177319896e-05,2.483385649224181e-05
12/27/13,1842.969971,1844.890015,1839.810059,1841.4000239999998,1841.4000239999998,2052920000,7.5182814438873065,-0.000336641,2.742146822360216e-06,6.6229679670085545e-06,8.92844225206622e-06,2.4850905345185923e-05
12/30/13,1841.469971,1842.469971,1838.77002,1841.069946,1841.069946,2293860000,7.518102173993147,-0.00017927,1.4573991567873753e-06,2.742146822360216e-06,7.468499382773857e-06,2.4672836357340172e-05
12/31/13,1842.609985,1849.439941,1842.410034,1848.359985,1848.359985,2312840000,7.522054030309064,0.003951856,5.231023359369615e-06,1.4573991567873753e-06,3.7779336840982305e-06,2.4582862605597245e-05
1/02/14,1845.859985,1845.859985,1827.7399899999998,1831.97998,1831.97998,3080600000,7.513152617226767,-0.008901413,3.510055660184464e-05,5.231023359369615e-06,3.815302585272559e-06,2.4351160439694487e-05
1/03/14,1833.209961,1838.2399899999998,1829.130005,1831.369995,1831.369995,2774270000,7.512819596898488,-0.00033302,8.902299362080073e-06,3.510055660184464e-05,1.0230818781474096e-05,2.533457914630593e-05
1/06/14,1832.310059,1837.160034,1823.72998,1826.77002,1826.77002,3294850000,7.5103046699653175,-0.002514927,1.9416036984489163e-05,8.902299362080073e-06,1.06866850604884e-05,2.495767238674314e-05
1/07/14,1828.709961,1840.0999760000002,1828.709961,1837.880005,1837.880005,3511750000,7.516368015147871,0.006063345,1.3905144111645453e-05,1.9416036984489163e-05,1.4021463092914188e-05,2.35816943168863e-05
1/08/14,1837.9000239999998,1840.02002,1831.4000239999998,1837.4899899999998,1837.4899899999998,3652140000,7.516155783453105,-0.000212232,7.952837605180962e-06,1.3905144111645453e-05,1.6511012083885804e-05,2.3765156372423918e-05
1/09/14,1839,1843.22998,1830.380005,1838.130005,1838.130005,3581150000,7.5165040321879255,0.000348249,1.765210708267754e-05,7.952837605180962e-06,1.705537493304807e-05,2.248168845861216e-05
1/10/14,1840.060059,1843.1500239999998,1832.430054,1842.369995,1842.369995,3335710000,7.518808063,0.00230403,1.2271915715116878e-05,1.765210708267754e-05,1.3565685029214651e-05,2.3174257983897258e-05
1/13/14,1841.2600100000002,1843.449951,1815.52002,1819.199951,1819.199951,3591350000,7.506152096061355,-0.012655966,8.406465683008208e-05,1.2271915715116878e-05,1.423960829982201e-05,2.3517057248502456e-05
1/14/14,1821.359985,1839.2600100000002,1821.359985,1838.880005,1838.880005,3353270000,7.516911972339495,0.010759876278140013,3.449685012669898e-05,8.406465683008208e-05,2.7169332268940596e-05,2.4718761882970666e-05
1/15/14,1840.52002,1850.839966,1840.52002,1848.380005,1848.380005,3777800000,7.522064861,0.005152889,1.1276098246663458e-05,3.449685012669898e-05,3.12876734719513e-05,2.573803792334059e-05
